"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUEXP","TRY","PC_GDP","A","2000",1.49399,
"AUS","EDUEXP","TRY","PC_GDP","A","2005",1.518732,
"AUS","EDUEXP","TRY","PC_GDP","A","2008",1.534757,
"AUS","EDUEXP","TRY","PC_GDP","A","2009",1.618849,
"AUS","EDUEXP","TRY","PC_GDP","A","2010",1.676203,
"AUS","EDUEXP","TRY","PC_GDP","A","2011",1.629829,
"AUS","EDUEXP","TRY","PC_GDP","A","2012",1.600574,
"AUS","EDUEXP","TRY","PC_GDP","A","2013",1.69176,
"AUS","EDUEXP","TRY","PC_GDP","A","2014",1.850703,
"AUS","EDUEXP","TRY","PC_GDP","A","2015",2.034002,
"AUS","EDUEXP","TRY","PC_GDP","A","2016",1.913916,
"AUS","EDUEXP","TRY","PC_GDP","A","2017",2.01614,
"AUS","EDUEXP","TRY","PC_GDP","A","2018",1.887302,
"AUS","EDUEXP","TRY","PC_GDP","A","2019",1.922114,
"AUS","EDUEXP","PRY_NTRY","PC_GDP","A","2000",3.757522,
"AUS","EDUEXP","PRY_NTRY","PC_GDP","A","2005",3.864495,
"AUS","EDUEXP","PRY_NTRY","PC_GDP","A","2008",3.843722,
"AUS","EDUEXP","PRY_NTRY","PC_GDP","A","2009",4.234885,
"AUS","EDUEXP","PRY_NTRY","PC_GDP","A","2010",4.475953,
"AUS","EDUEXP","PRY_NTRY","PC_GDP","A","2011",4.175714,
"AUS","EDUEXP","PRY_NTRY","PC_GDP","A","2012",3.999711,
"AUS","EDUEXP","PRY_NTRY","PC_GDP","A","2013",3.9781,
"AUS","EDUEXP","PRY_NTRY","PC_GDP","A","2014",3.943228,
"AUS","EDUEXP","PRY_NTRY","PC_GDP","A","2015",3.920843,
"AUS","EDUEXP","PRY_NTRY","PC_GDP","A","2016",3.929211,
"AUS","EDUEXP","PRY_NTRY","PC_GDP","A","2017",3.978279,
"AUS","EDUEXP","PRY_NTRY","PC_GDP","A","2018",4.035237,
"AUS","EDUEXP","PRY_NTRY","PC_GDP","A","2019",4.149327,
"AUT","EDUEXP","TRY","PC_GDP","A","2012",1.746382,
"AUT","EDUEXP","TRY","PC_GDP","A","2013",1.738683,
"AUT","EDUEXP","TRY","PC_GDP","A","2014",1.709761,
"AUT","EDUEXP","TRY","PC_GDP","A","2015",1.742671,
"AUT","EDUEXP","TRY","PC_GDP","A","2016",1.743497,
"AUT","EDUEXP","TRY","PC_GDP","A","2017",1.713224,
"AUT","EDUEXP","TRY","PC_GDP","A","2018",1.73456,
"AUT","EDUEXP","TRY","PC_GDP","A","2019",1.748262,
"AUT","EDUEXP","PRY_NTRY","PC_GDP","A","2012",3.123541,
"AUT","EDUEXP","PRY_NTRY","PC_GDP","A","2013",3.204516,
"AUT","EDUEXP","PRY_NTRY","PC_GDP","A","2014",3.121199,
"AUT","EDUEXP","PRY_NTRY","PC_GDP","A","2015",3.123964,
"AUT","EDUEXP","PRY_NTRY","PC_GDP","A","2016",3.130986,
"AUT","EDUEXP","PRY_NTRY","PC_GDP","A","2017",3.071285,
"AUT","EDUEXP","PRY_NTRY","PC_GDP","A","2018",2.955446,
"AUT","EDUEXP","PRY_NTRY","PC_GDP","A","2019",2.926971,
"BEL","EDUEXP","TRY","PC_GDP","A","2005",1.228067,
"BEL","EDUEXP","TRY","PC_GDP","A","2008",1.283522,
"BEL","EDUEXP","TRY","PC_GDP","A","2009",1.395073,
"BEL","EDUEXP","TRY","PC_GDP","A","2010",1.377676,
"BEL","EDUEXP","TRY","PC_GDP","A","2011",1.388649,
"BEL","EDUEXP","TRY","PC_GDP","A","2012",1.469696,
"BEL","EDUEXP","TRY","PC_GDP","A","2013",1.514544,
"BEL","EDUEXP","TRY","PC_GDP","A","2014",1.511016,
"BEL","EDUEXP","TRY","PC_GDP","A","2015",1.461527,
"BEL","EDUEXP","TRY","PC_GDP","A","2016",1.488991,
"BEL","EDUEXP","TRY","PC_GDP","A","2017",1.511137,
"BEL","EDUEXP","TRY","PC_GDP","A","2018",1.518773,
"BEL","EDUEXP","TRY","PC_GDP","A","2019",1.520486,
"BEL","EDUEXP","PRY_NTRY","PC_GDP","A","2005",4.092949,
"BEL","EDUEXP","PRY_NTRY","PC_GDP","A","2008",4.353625,
"BEL","EDUEXP","PRY_NTRY","PC_GDP","A","2009",4.359445,
"BEL","EDUEXP","PRY_NTRY","PC_GDP","A","2010",4.315599,
"BEL","EDUEXP","PRY_NTRY","PC_GDP","A","2011",4.291925,
"BEL","EDUEXP","PRY_NTRY","PC_GDP","A","2012",4.315025,
"BEL","EDUEXP","PRY_NTRY","PC_GDP","A","2013",4.323433,
"BEL","EDUEXP","PRY_NTRY","PC_GDP","A","2014",4.258106,
"BEL","EDUEXP","PRY_NTRY","PC_GDP","A","2015",4.186126,
"BEL","EDUEXP","PRY_NTRY","PC_GDP","A","2016",4.201916,
"BEL","EDUEXP","PRY_NTRY","PC_GDP","A","2017",4.168795,
"BEL","EDUEXP","PRY_NTRY","PC_GDP","A","2018",4.130217,
"BEL","EDUEXP","PRY_NTRY","PC_GDP","A","2019",4.07089,
"CAN","EDUEXP","TRY","PC_GDP","A","2000",2.440691,
"CAN","EDUEXP","TRY","PC_GDP","A","2005",2.439042,
"CAN","EDUEXP","TRY","PC_GDP","A","2008",2.43396,
"CAN","EDUEXP","TRY","PC_GDP","A","2009",2.626822,
"CAN","EDUEXP","TRY","PC_GDP","A","2010",2.761717,
"CAN","EDUEXP","TRY","PC_GDP","A","2011",2.608457,
"CAN","EDUEXP","TRY","PC_GDP","A","2012",2.250148,
"CAN","EDUEXP","TRY","PC_GDP","A","2013",2.270592,
"CAN","EDUEXP","TRY","PC_GDP","A","2014",2.244928,
"CAN","EDUEXP","TRY","PC_GDP","A","2015",2.119759,
"CAN","EDUEXP","TRY","PC_GDP","A","2016",2.346683,
"CAN","EDUEXP","TRY","PC_GDP","A","2017",2.314068,
"CAN","EDUEXP","TRY","PC_GDP","A","2018",2.326779,
"CAN","EDUEXP","TRY","PC_GDP","A","2019",2.182295,
"CAN","EDUEXP","PRY_NTRY","PC_GDP","A","2000",3.46174,
"CAN","EDUEXP","PRY_NTRY","PC_GDP","A","2005",3.45586,
"CAN","EDUEXP","PRY_NTRY","PC_GDP","A","2008",3.601051,
"CAN","EDUEXP","PRY_NTRY","PC_GDP","A","2009",3.722975,
"CAN","EDUEXP","PRY_NTRY","PC_GDP","A","2010",3.94741,
"CAN","EDUEXP","PRY_NTRY","PC_GDP","A","2011",3.750487,
"CAN","EDUEXP","PRY_NTRY","PC_GDP","A","2012",3.651462,
"CAN","EDUEXP","PRY_NTRY","PC_GDP","A","2013",3.577481,
"CAN","EDUEXP","PRY_NTRY","PC_GDP","A","2014",3.518333,
"CAN","EDUEXP","PRY_NTRY","PC_GDP","A","2015",3.491326,
"CAN","EDUEXP","PRY_NTRY","PC_GDP","A","2016",3.587644,
"CAN","EDUEXP","PRY_NTRY","PC_GDP","A","2017",3.587363,
"CAN","EDUEXP","PRY_NTRY","PC_GDP","A","2018",3.539194,
"CAN","EDUEXP","PRY_NTRY","PC_GDP","A","2019",3.544887,
"CZE","EDUEXP","TRY","PC_GDP","A","1995",0.8197426,
"CZE","EDUEXP","TRY","PC_GDP","A","2000",0.7519374,
